case,method,order,variant,n_steps,runtime_s,abs_err_x,abs_err_px,rel_err_x,rel_err_px,rel_err_max,selection
0.0,2.0,8.0,1.0,290.0,0.0004549669101834,1.6258236854974704e-13,8.497981550463192e-08,0.0016856979028851,0.0075318496092079,0.0075318496092079,min_steps_under_1pct
0.0,2.0,10.0,1.0,600.0,0.0025239489041268,4.690029867740274e-16,2.4690512818214606e-10,4.86274962226269e-06,2.188345882098056e-05,2.188345882098056e-05,min_error
0.0,3.0,8.0,1.0,290.0,0.0004580321256071,1.592224122074083e-13,8.316345725545095e-08,0.0016508609681634,0.0073708638846798,0.0073708638846798,min_steps_under_1pct
0.0,3.0,10.0,1.0,600.0,0.0025910839904099,4.67092541559439e-16,2.459124468116923e-10,4.842941610357493e-06,2.179547643660232e-05,2.179547643660232e-05,min_error
0.0,4.0,10.0,1.0,40.0,0.0030834260396659,7.204203814526159e-14,3.8927292020091696e-08,0.0007469513066165,0.0034501664595055,0.0034501664595055,min_steps_under_1pct
0.0,4.0,4.0,2.0,540.0,0.0007501859217882,5.574875038361241e-18,8.322680398179698e-13,5.7801809906201e-08,7.376478371052217e-08,7.376478371052217e-08,min_error
1.0,2.0,8.0,1.0,180.0,0.0002897698432207,2.7987035779199842e-14,1.0036072421227256e-08,0.0004304373838189,0.0015888308464458,0.0015888308464458,min_steps_under_1pct
1.0,2.0,12.0,1.0,390.0,0.005202756030485,8.095571418616734e-19,1.6362806758073666e-12,1.2450895512624338e-08,2.590428906897161e-07,2.590428906897161e-07,min_error
1.0,3.0,12.0,1.0,170.0,0.0023464260157197,1.7099245327073077e-13,5.904731387673562e-08,0.0026298442185628,0.0093478992328412,0.0093478992328412,min_steps_under_1pct
1.0,3.0,12.0,1.0,400.0,0.0054544261656701,8.025423206874483e-18,9.037547846999255e-13,1.234300837166333e-07,1.430752409196647e-07,1.430752409196647e-07,min_error
1.0,4.0,4.0,1.0,30.0,9.381002746522428e-05,6.784293443242527e-14,7.519868945875764e-09,0.0010434165103471,0.001190485604425,0.001190485604425,min_steps_under_1pct
1.0,4.0,10.0,1.0,70.0,0.0046233609318733,5.448931051534543e-18,1.960168780118694e-12,8.38039313965353e-08,3.103182690776083e-07,3.103182690776083e-07,min_error
2.0,2.0,8.0,1.0,180.0,0.0002914809156209,3.337459898936797e-14,1.089132394959185e-08,0.000563094086323,0.0017324628394265,0.0017324628394265,min_steps_under_1pct
2.0,2.0,12.0,1.0,410.0,0.0054814170580357,5.979325619254504e-18,3.8842867673526e-13,1.0088279704797761e-07,6.178663414347075e-08,1.0088279704797761e-07,min_error
2.0,3.0,12.0,1.0,170.0,0.0023559811525046,1.6318260113450204e-13,4.884750539386791e-08,0.002753206344709,0.0077700827085153,0.0077700827085153,min_steps_under_1pct
2.0,3.0,12.0,1.0,410.0,0.0055965159554034,3.9614533728393935e-18,2.665496065513105e-13,6.683738636682742e-08,4.2399554944025816e-08,6.683738636682742e-08,min_error
2.0,4.0,10.0,1.0,30.0,0.0020427510607987,1.0710077231203569e-13,3.0859521426697945e-08,0.001806997337968,0.0049087672317601,0.0049087672317601,min_steps_under_1pct
2.0,4.0,10.0,1.0,60.0,0.0039827651344239,2.532691920854189e-18,3.0144339630645616e-12,4.273141509701588e-08,4.795004580788601e-07,4.795004580788601e-07,min_error
3.0,2.0,8.0,1.0,240.0,0.0003820930141955,1.06679018263853e-14,6.732970437863763e-10,0.000253173864017,3.980561568932898e-05,0.000253173864017,min_steps_under_1pct
3.0,2.0,12.0,1.0,590.0,0.0079553809482604,1.0141248901883113e-17,1.959939250283614e-12,2.406751779528484e-07,1.158724656393623e-07,2.406751779528484e-07,min_error
3.0,3.0,8.0,1.0,240.0,0.0003883109893649,7.663543797084485e-14,3.483348550274316e-09,0.0018187353302907,0.0002059370897047,0.0018187353302907,min_steps_under_1pct
3.0,3.0,12.0,1.0,590.0,0.0080533360596746,8.959655789470019e-18,1.896189117994631e-12,2.126332537924942e-07,1.1210352993786489e-07,2.126332537924942e-07,min_error
3.0,4.0,12.0,1.0,30.0,0.0066596989054232,1.2176154492929173e-13,1.0598448767915662e-08,0.0028896817124988,0.0006265849262997,0.0028896817124988,min_steps_under_1pct
3.0,4.0,12.0,1.0,80.0,0.0171914189122617,1.3654404710714185e-17,1.7045394704539273e-12,3.240504513187842e-07,1.0077311895893143e-07,3.240504513187842e-07,min_error
4.0,2.0,8.0,1.0,230.0,0.0003598881885409,9.858196511600725e-14,4.551961443211304e-09,0.0036815925477141,0.000281302772252,0.0036815925477141,min_steps_under_1pct
4.0,2.0,12.0,1.0,560.0,0.0075250042136758,1.4422182297541952e-18,1.0086076193530948e-12,5.3860357526777696e-08,6.23300796762492e-08,6.23300796762492e-08,min_error
