case,method,order,variant,n_steps,runtime_s,abs_err_x,abs_err_px,rel_err_x,rel_err_px,rel_err_max,selection
0.0,2.0,12.0,1.0,240.0,0.0025387550704181,,,,,,nan_max_steps
0.0,3.0,12.0,1.0,240.0,0.0029201989527791,,,,,,nan_max_steps
1.0,2.0,12.0,1.0,120.0,0.0015624051447957,,,,,,nan_max_steps
1.0,3.0,10.0,1.0,120.0,0.0005320098716765,,,,,,nan_max_steps
1.0,3.0,12.0,1.0,120.0,0.0014617890119552,,,,,,nan_max_steps
2.0,2.0,12.0,1.0,120.0,0.001238492084667,,,,,,nan_max_steps
2.0,3.0,12.0,1.0,130.0,0.0016798288561403,,,,,,nan_max_steps
3.0,2.0,12.0,1.0,190.0,0.0022114850580692,,,,,,nan_max_steps
3.0,3.0,12.0,1.0,190.0,0.0019950831774622,,,,,,nan_max_steps
4.0,2.0,10.0,1.0,170.0,0.0007312889210879,,,,,,nan_max_steps
4.0,2.0,12.0,1.0,170.0,0.0017235050909221,,,,,,nan_max_steps
4.0,3.0,12.0,1.0,190.0,0.0024408469907939,,,,,,nan_max_steps
5.0,2.0,12.0,1.0,170.0,0.0019808479119092,,,,,,nan_max_steps
5.0,3.0,12.0,1.0,180.0,0.0023248009383678,,,,,,nan_max_steps
6.0,2.0,10.0,1.0,160.0,0.0005692010745406,,,,,,nan_max_steps
6.0,2.0,12.0,1.0,160.0,0.0016638170927762,,,,,,nan_max_steps
6.0,3.0,12.0,1.0,180.0,0.0020790540147572,,,,,,nan_max_steps
7.0,2.0,10.0,1.0,150.0,0.000500745140016,,,,,,nan_max_steps
7.0,2.0,12.0,1.0,150.0,0.001508685061708,,,,,,nan_max_steps
7.0,3.0,12.0,1.0,160.0,0.0017365589737892,,,,,,nan_max_steps
8.0,2.0,12.0,1.0,150.0,0.0015756718348711,,,,,,nan_max_steps
8.0,3.0,12.0,1.0,160.0,0.0018532490357756,,,,,,nan_max_steps
9.0,2.0,4.0,1.0,60.0,2.559390850365162e-05,,,,,,nan_max_steps
9.0,2.0,10.0,1.0,60.0,0.0002111329231411,,,,,,nan_max_steps
9.0,2.0,12.0,1.0,60.0,0.0006789180915802,,,,,,nan_max_steps
9.0,3.0,12.0,1.0,70.0,0.0009247830603271,,,,,,nan_max_steps
10.0,2.0,12.0,1.0,60.0,0.0006537728477269,,,,,,nan_max_steps
10.0,3.0,12.0,1.0,60.0,0.000657974043861,,,,,,nan_max_steps
11.0,2.0,12.0,1.0,60.0,0.0006501800380647,,,,,,nan_max_steps
11.0,3.0,10.0,1.0,60.0,0.0002252319827675,,,,,,nan_max_steps
11.0,3.0,12.0,1.0,60.0,0.0006646700203418,,,,,,nan_max_steps
12.0,2.0,12.0,1.0,60.0,0.0006759648676961,,,,,,nan_max_steps
12.0,3.0,4.0,1.0,60.0,2.5624176487326625e-05,,,,,,nan_max_steps
12.0,3.0,10.0,1.0,60.0,0.0002406209241598,,,,,,nan_max_steps
12.0,3.0,12.0,1.0,60.0,0.0006709089502692,,,,,,nan_max_steps
