case,method,order,variant,n_steps,runtime_s,abs_err_x,abs_err_px,rel_err_x,rel_err_px
0,2,2,1,10,2.9165996238589287e-05,,,,
0,2,2,1,20,2.1624844521284103e-05,,,,
0,2,2,1,30,2.0900042727589607e-05,,,,
0,2,2,1,40,2.1761050447821617e-05,,,,
0,2,2,1,50,2.06679105758667e-05,,,,
0,2,2,1,60,2.3142900317907333e-05,,,,
0,2,2,1,70,2.2864900529384613e-05,,,,
0,2,2,1,80,2.092798240482807e-05,,,,
0,2,2,1,90,2.3274216800928116e-05,,,,
0,2,2,1,100,2.339901402592659e-05,,,,
0,2,2,1,110,2.288399264216423e-05,,,,
0,2,2,1,120,2.8240960091352463e-05,,,,
0,2,2,1,130,2.5727786123752594e-05,1.4335423937625486e-10,3.151441929717692e-05,1.4863354670116629,2.7931558248078345
0,2,2,1,140,2.6716850697994232e-05,1.935787619368595e-10,5.1578924688758985e-06,2.0070768801736594,0.45714938477269507
0,2,2,1,150,2.6002991944551468e-05,1.9619987269361404e-10,1.583992332639764e-05,2.034253264336982,1.4039089118675403
0,2,2,1,160,3.0288007110357285e-05,1.5147297147728418e-10,8.510827953432134e-06,1.5705126739183515,0.7543235510037091
0,2,2,1,170,2.7085188776254654e-05,1.3887065314446972e-10,9.365797292446683e-06,1.4398484341572213,0.8301003745200007
0,2,2,1,180,2.791895531117916e-05,1.2989632729085262e-10,9.760715950985642e-06,1.3468002001685426,0.865102426787618
0,2,2,1,190,2.7521047741174698e-05,1.1282690912390732e-10,1.0265493051102009e-05,1.1698198629760423,0.9098413472203335
0,2,2,1,200,3.018788993358612e-05,1.0107203807710192e-10,1.0423078040638542e-05,1.0479421855314408,0.9238082690688881
0,2,2,1,210,2.9172981157898903e-05,8.906318094025282e-11,1.0449913576677552e-05,0.923431111715709,0.926186730594464
0,2,2,1,220,3.0167168006300926e-05,8.10483649509734e-11,1.0410791548449551e-05,0.8403313351184404,0.9227193044619086
0,2,2,1,230,2.976297400891781e-05,7.277985762411848e-11,1.0290760547684308e-05,0.7546012182232302,0.9120808317747414
0,2,2,1,240,3.129802644252777e-05,6.512535425399237e-11,1.0106540376717956e-05,0.6752372601646361,0.8957532060384216
0,2,2,1,250,3.070896491408348e-05,5.926774167436874e-11,9.908954901499192e-06,0.6145039510766707,0.8782409994576659
0,2,2,1,260,3.254413604736328e-05,5.376981654315734e-11,9.67038677776819e-06,0.5574999785883076,0.8570964580295325
0,2,2,1,270,3.184005618095398e-05,4.889641099794518e-11,9.40832146409708e-06,0.5069711938206074,0.8338693361695995
0,2,2,1,280,3.3387914299964905e-05,4.472011018042042e-11,9.13892546841811e-06,0.463670179124386,0.8099924883236984
0,2,2,1,290,3.338395617902279e-05,4.0986258299682344e-11,8.857857285412201e-06,0.42495659448917317,0.7850811223509345
0,2,2,1,300,3.4043099731206894e-05,3.767862387189834e-11,8.572427414408298e-06,0.39066214750724093,0.7597831754254102
0,2,2,1,310,3.3196061849594116e-05,3.474254614483728e-11,8.286357310333798e-06,0.36022010073818883,0.7344284839756251
0,2,2,1,320,3.53730283677578e-05,3.2122842853068135e-11,8.002033865182027e-06,0.33305830955192384,0.709228600726428
0,2,2,1,330,3.548199310898781e-05,2.977988763144403e-11,7.721830685044073e-06,0.3087659170934075,0.6843939008593067
0,2,2,1,340,3.640400245785713e-05,2.7675254941655807e-11,7.447034038996223e-06,0.28694451700454104,0.6600383877429674
0,2,2,1,350,3.624381497502327e-05,2.5781042120092984e-11,7.1792230971621975e-06,0.2673048069338293,0.6363020248711949
0,2,2,1,360,3.7244055420160294e-05,2.4070740757239947e-11,6.9192254913166345e-06,0.2495719405327543,0.6132581661106853
0,2,2,1,370,3.704591654241085e-05,2.2521555363948784e-11,6.667566250989998e-06,0.2335095680138536,0.5909533453758787
0,2,2,1,380,3.948807716369629e-05,2.1114980046290266e-11,6.424737269082314e-06,0.2189258152713076,0.5694311596471269
0,2,2,1,390,3.834604285657406e-05,1.9834422934935522e-11,6.190931655621936e-06,0.2056486533232402,0.5487087244674906
0,2,2,1,400,3.933301195502281e-05,1.8665612428232423e-11,5.966212867016376e-06,0.19353011034964157,0.5287916640444985
0,2,2,1,410,3.950903192162514e-05,1.7596276643930204e-11,5.75055522031974e-06,0.18244294816128437,0.5096777020718908
0,2,2,1,420,4.133302718400955e-05,1.6615673284138692e-11,5.5438324918611365e-06,0.17227578771265975,0.491355651214173
0,2,2,1,430,4.046992398798466e-05,1.571444515028815e-11,5.345856996424875e-06,0.16293161104206264,0.47380887673508415
0,2,2,1,440,4.124199040234089e-05,1.4884403338185575e-11,5.156393053936833e-06,0.1543255133793866,0.4570164900640425
0,2,2,1,450,4.093698225915432e-05,1.4118362821380574e-11,4.9751709340638045e-06,0.14638299843006022,0.44095458472051874
0,2,2,1,460,4.324805922806263e-05,1.3410003637240793e-11,4.801898279203889e-06,0.13903853911479008,0.42559724874557836
0,2,2,1,470,4.3108128011226654e-05,1.2753748484575431e-11,4.636267874249632e-06,0.13223430846866627,0.41091725334408585
0,2,2,1,480,4.261801950633526e-05,1.2144666315398683e-11,4.4779654545547435e-06,0.12591918005453057,0.3968867449129322
0,2,2,1,490,4.746788181364536e-05,1.157838540778539e-11,4.3266746870149414e-06,0.12004782667886886,0.3834776865194209
0,2,2,1,500,4.312791861593723e-05,1.1051020165845316e-11,4.182081157512529e-06,0.11457996143417659,0.3706622113126362
0,2,2,1,510,4.34929970651865e-05,1.0559109612513204e-11,4.0438756639390595e-06,0.10947969997559599,0.35841291438747414
0,2,2,1,520,4.412396810948849e-05,1.0099563710753309e-11,3.9117564330609646e-06,0.10471500396466847,0.34670304926775286
0,2,2,1,530,4.478404298424721e-05,9.669617506352378e-12,3.7854307801834077e-06,0.10025720560942848,0.3355066750039501
0,2,2,1,540,4.67419158667326e-05,9.266791683369266e-12,3.6646162804431433e-06,0.09608059869265295,0.3247987599861096
0,2,2,1,550,4.4588930904865265e-05,8.888858403257445e-12,3.5490415120216536e-06,0.0921620843826583,0.31455524781559596
0,2,2,1,560,4.642806015908718e-05,8.533811764530979e-12,3.438446497608702e-06,0.0884808649511398,0.3047530964324698
0,2,2,1,570,4.782411269843578e-05,8.199842154947531e-12,3.332582898721874e-06,0.08501817784967876,0.2953702953382306
0,2,2,1,580,4.856404848396778e-05,7.885313942334843e-12,3.2312140236729484e-06,0.08175706440220677,0.28638586630188506
0,2,2,1,590,4.843715578317642e-05,7.588746023440783e-12,3.134114693294847e-06,0.07868216813023023,0.2777798514591864
0,2,2,1,600,4.7513050958514214e-05,7.308794825625707e-12,3.041071000114222e-06,0.07577955850978625,0.26953329196784975
0,2,2,2,10,1.8880004063248634e-05,,,,
0,2,2,2,20,1.9414816051721573e-05,,,,
0,2,2,2,30,2.0048115402460098e-05,,,,
0,2,2,2,40,1.9448809325695038e-05,,,,
0,2,2,2,50,2.094893716275692e-05,,,,
0,2,2,2,60,1.9985949620604515e-05,,,,
0,2,2,2,70,2.467585727572441e-05,,,,
0,2,2,2,80,2.1224142983555794e-05,,,,
0,2,2,2,90,2.3093074560165405e-05,,,,
0,2,2,2,100,2.2793887183070183e-05,,,,
0,2,2,2,110,2.201390452682972e-05,,,,
0,2,2,2,120,2.4215783923864365e-05,1.3663253065612734e-11,9.76342378983432e-06,0.14166429757877028,0.8653424253667288
0,2,2,2,130,2.4259090423583984e-05,1.3779356073240684e-10,1.3638812339693546e-05,1.4286808491575456,1.208822151245814
0,2,2,2,140,2.7212081477046013e-05,1.6094064200137626e-10,3.0156111864059788e-05,1.6686760386794348,2.6727676214614773
0,2,2,2,150,2.628704532980919e-05,1.8048977652582777e-10,2.553127478854235e-05,1.8713667447199525,2.262863491721541
0,2,2,2,160,2.774014137685299e-05,1.9325202846382688e-10,2.1047219176348366e-05,2.0036892192900937,1.8654369697902342
0,2,2,2,170,2.790498547255993e-05,1.9846056135473567e-10,4.25390785363407e-06,2.0576926948799255,0.37702828624350304
0,2,2,2,180,2.983701415359974e-05,1.7208817144620625e-10,5.350156910188498e-06,1.7842566343806885,0.4741899825730746
0,2,2,2,190,2.9487069696187973e-05,1.456935028380507e-10,8.79445231747542e-06,1.510589582307311,0.7794614739657193
0,2,2,2,200,3.114808350801468e-05,1.2655328940962997e-10,9.910803360875082e-06,1.3121386806205704,0.8784048303385081
0,2,2,2,210,3.1114090234041214e-05,1.1323908199852112e-10,1.0312556933947032e-05,1.1740933826483186,0.9140126682041355
0,2,2,2,220,3.051990643143654e-05,9.792442591829334e-11,1.0510057471100435e-05,1.0153068926486462,0.9315173466356408
0,2,2,2,230,3.2566022127866745e-05,8.697408329467907e-11,1.049953743156861e-05,0.9017707831605345,0.9305849445685604
0,2,2,2,240,3.2047973945736885e-05,7.809868384467731e-11,1.0400272606832014e-05,0.809748244839854,0.9217869997041158
0,2,2,2,250,3.410712815821171e-05,6.969186478059994e-11,1.0214216534096505e-05,0.7225840745017027,0.9052966560807252
0,2,2,2,260,3.289291635155678e-05,6.280304328389538e-11,9.994114495913875e-06,0.6511589128809829,0.8857887830590269
