"s","x","px"
0.,3.6e-11,4.399999999999999e-11
4.0000000000000003e-7,3.5921071177660626e-11,-3.945128458654626e-7
8.000000000000001e-7,3.5684669359827386e-11,-7.869734178093367e-7
1.2000000000000002e-6,3.52920472421013e-11,-1.1752751712282898e-6
1.6000000000000001e-6,3.47452703128712e-11,-1.5574219530981872e-6
2.0000000000000003e-6,3.4047184214130996e-11,-1.931513804591661e-6
2.4000000000000003e-6,3.3201370994182596e-11,-2.295772552150155e-6
2.8000000000000003e-6,3.221209600756909e-11,-2.6485628538169757e-6
3.2000000000000003e-6,3.108424755050483e-11,-2.9884074636521016e-6
3.6000000000000007e-6,2.982327149146762e-11,-3.3139968962335614e-6
4.000000000000001e-6,2.843510317206377e-11,-3.6241932749203084e-6
4.4e-6,2.6926098982230207e-11,-3.918028909606728e-6
4.800000000000001e-6,2.530296939093042e-11,-4.194699506817956e-6
5.200000000000001e-6,2.357271546483066e-11,-4.453554062196914e-6
5.600000000000001e-6,2.174257046986479e-11,-4.694080189187971e-6
6.e-6,1.98199475671859e-11,-4.915887859700206e-6
6.4000000000000006e-6,1.7812394519713207e-11,-5.118690845402887e-6
6.800000000000001e-6,1.5727555959761594e-11,-5.3022878906078604e-6
7.200000000000001e-6,1.3573143331586342e-11,-5.466542993324328e-6
7.6e-6,1.1356912587580586e-11,-5.611366467261315e-6
8.000000000000001e-6,9.086649171007034e-12,-5.736697715379053e-6
8.400000000000001e-6,6.770159808272932e-12,-5.842488421257219e-6
8.8e-6,4.415270494724986e-12,-5.9286882392522785e-6
9.2e-6,2.0298298125989563e-12,-5.995232750693619e-6
9.600000000000001e-6,-3.7828331921733117e-13,-6.042033306089497e-6
0.00001,-2.801148470350374e-12,-6.06896994799542e-6
0.000010400000000000002,-5.230790142445779e-12,-6.075886812118192e-6
0.0000108,-7.659162990380772e-12,-6.062590483294144e-6
0.000011200000000000001,-1.0078136959511866e-11,-6.028851313747226e-6
0.0000116,-1.2479483574786342e-11,-5.974407842922111e-6
0.000012,-1.485486462901116e-11,-5.8989743967361195e-6
0.0000124,-1.7195824548371955e-11,-5.802251884684246e-6
0.000012800000000000001,-1.9493787724480085e-11,-5.683941832084541e-6
0.0000132,-2.1740062088939032e-11,-5.543763545506337e-6
0.000013600000000000002,-2.3925850161057122e-11,-5.381474255433393e-6
0.000014000000000000001,-2.6042268711644308e-11,-5.1968919902626074e-6
0.000014400000000000003,-2.808037804440241e-11,-4.9899207403278514e-6
0.0000148,-3.0031221682337616e-11,-4.7605771204827095e-6
0.0000152,-3.188587696324984e-11,-4.509018234492931e-6
0.0000156,-3.3635516709353487e-11,-4.235568999241872e-6
0.000016000000000000003,-3.527148165258863e-11,-3.940748182095323e-6
0.000016400000000000002,-3.67853628246227e-11,-3.6252920703119047e-6
0.000016800000000000002,-3.816909255358463e-11,-3.290173663432816e-6
0.0000172,-3.941504208159772e-11,-2.9366163073863516e-6
0.0000176,-4.0516123334659166e-11,-2.5661005280249003e-6
0.000018,-4.146589178419704e-11,-2.1803625664393038e-6
0.0000184,-4.225864697826303e-11,-1.7813840816636378e-6
0.0000188,-4.288952706491492e-11,-1.371372330297588e-6
0.000019200000000000003,-4.335459358455929e-11,-9.52731470457331e-7
0.000019600000000000002,-4.365090299210724e-11,-5.280250878797114e-7
0.00002,-4.3776561761035007e-11,-9.993172463178666e-8
0.0000204,-4.3730762587233115e-11,3.2880468260674253e-7
0.000020800000000000004,-4.351380000731714e-11,7.554277169787214e-7
0.0000212,-4.3127064694036835e-11,1.177221950758842e-6
0.0000216,-4.257301668688034e-11,1.5915642489936203e-6
0.000022000000000000003,-4.1855138814607315e-11,1.995971210029256e-6
0.000022400000000000002,-4.0977872481278176e-11,2.3881396016131032e-6
0.000022800000000000002,-3.994653863745784e-11,2.7659796509848956e-6
0.0000232,-3.876724732843477e-11,3.1276388879115773e-6
0.0000236,-3.7446799499272005e-11,3.471516948882075e-6
0.000024,-3.5992584771762783e-11,3.796271003548542e-6
0.0000244,-3.44124787658382e-11,4.100812698922313e-6
0.0000248,-3.2714743195410215e-11,4.384297601001454e-6
0.000025200000000000003,-3.090793150674905e-11,4.646108212430172e-6
0.000025600000000000002,-2.9000802278752022e-11,4.885832433684112e-6
0.000026000000000000002,-2.700224201725068e-11,5.103238367769462e-6
0.0000264,-2.4921198424374922e-11,5.298247196066073e-6
0.000026800000000000004,-2.276662461539368e-11,5.470906337168789e-6
0.000027200000000000004,-2.0547434340681348e-11,5.621360529169973e-6
0.000027600000000000003,-1.8272468071318105e-11,5.7498272765403e-6
0.000028000000000000003,-1.59504688724188e-11,5.8565723110351265e-6
0.000028400000000000006,-1.3590067488035897e-11,5.9418881544461075e-6
0.000028800000000000005,-1.1199775443023199e-11,6.006075554321695e-6
0.000029199999999999998,-8.787984954695687e-12,6.049427973481829e-6
0.0000296,-6.362974415514478e-12,6.072219292432854e-6
0.00003,-3.932918150772167e-12,6.074694720840383e-6
0.0000304,-1.5058991696004055e-12,6.057064911280894e-6
0.0000308,9.100763574069052e-13,6.019503200373908e-6
0.0000312,3.3070641281699942e-12,5.962145888164257e-6
0.0000316,5.67716744068361e-12,5.885095447479869e-6
0.000032000000000000005,8.012524773763767e-12,5.788426538335578e-6
0.0000324,1.0305300311039986e-11,5.67219468376415e-6
0.000032800000000000004,1.2547678439549838e-11,5.536447435596722e-6
0.0000332,1.4731863178363236e-11,5.381237819806274e-6
0.000033600000000000004,1.6850083398396712e-11,5.206639798031593e-6
0.000034000000000000007,1.8894604576538868e-11,5.012765427831216e-6
0.0000344,2.0857747681923733e-11,4.799783193387079e-6
0.000034800000000000006,2.2731915584911117e-11,4.56793745368285e-6
0.0000352,2.450962722008574e-11,4.317567364658862e-6
0.0000356,2.6183559403896874e-11,4.049126127733621e-6
0.000036,2.774659592957716e-11,3.7631983031811936e-6
0.000036400000000000004,2.919188330247645e-11,3.4605151910849086e-6
0.0000368,3.051289202275368e-11,3.141967223935147e-6
0.0000372,3.170348208138051e-11,2.8086124864724257e-6
0.0000376,3.275797097012603e-11,2.4616806301320536e-6
0.000038,3.3671202232919314e-11,2.102571583901715e-6
0.000038400000000000005,3.443861237974649e-11,1.7328486174224958e-6
0.0000388,3.505629386900338e-11,1.354225613506093e-6
0.000039200000000000004,3.5521051863728563e-11,9.68548698582782e-7
0.00003960000000000001,3.583045257860186e-11,5.777726715195493e-7
0.00004,3.5982861287841914e-11,1.8393303099638737e-7
0.000040400000000000006,3.5977468427307805e-11,-2.1088536735994398e-7
0.0000408,3.5814302678046054e-11,-6.045817302564121e-7
0.000041200000000000005,3.5494230547111304e-11,-9.950735199413539e-7
0.00004160000000000001,3.501894231204581e-11,-1.3803297838726615e-6
0.000042,3.43909250602631e-11,-1.758402297982502e-6
0.0000424,3.361342394976382e-11,-2.1274532792372615e-6
0.000042800000000000004,3.269039320848227e-11,-2.4857786005546667e-6
0.0000432,3.162643888470922e-11,-2.831825820784073e-6
0.0000436,3.042675552054464e-11,-3.164206488801818e-6
0.000044000000000000006,2.9097059055270787e-11,-3.481702683973167e-6
0.0000444,2.7643518243699105e-11,-3.7832679527182243e-6
0.000044800000000000005,2.607268675932024e-11,-4.068023044604751e-6
0.0000452,2.4391437933804638e-11,-4.335247106323646e-6
0.000045600000000000004,2.2606903805273315e-11,-4.58436508446622e-6
0.00004600000000000001,2.0726419824141056e-11,-4.814932179410975e-6
0.0000464,1.8757476225315357e-11,-5.026616221791435e-6
0.000046800000000000006,1.6707676731370343e-11,-5.2191786878280605e-6
0.0000472,1.4584704911618655e-11,-5.39245566566214e-6
0.000047600000000000005,1.239629830942495e-11,-5.5463380879457575e-6
0.000048,1.0150230042632842e-11,-5.680754115110233e-6
0.000048400000000000004,7.854297532353908e-12,-5.795651442278484e-6
0.0000488,5.5163176875239615e-12,-5.890982462065981e-6
0.0000492,3.144127852886487e-12,-5.966690619083058e-6
0.0000496,7.45591616783467e-13,-6.022699616932129e-6
0.00005,-1.6713914908628582e-12,-6.058904830725775e-6
0.000050400000000000005,-4.098873410752743e-12,-6.075167505275047e-6
0.0000508,-6.528843202109564e-12,-6.07131172726191e-6
0.000051200000000000004,-8.953212067323883e-12,-6.0471243612394976e-6
0.0000516,-1.1363798952622375e-11,-6.002358015325904e-6
0.000052000000000000004,-1.3752317960964056e-11,-5.936737146532445e-6
0.000052400000000000007,-1.6110368844794253e-11,-5.8499673641371055e-6
0.0000528,-1.842943186490341e-11,-5.741747956884384e-6
0.000053200000000000006,-2.0700868300703476e-11,-5.611787611567823e-6
0.00005360000000000001,-2.291592786867027e-11,-5.45982320812468e-6
0.000054000000000000005,-2.5065764238968047e-11,-5.285641467150337e-6
0.00005440000000000001,-2.7141459724107874e-11,-5.089103087090571e-6
0.000054800000000000004,-2.913406003927172e-11,-4.870168837844623e-6
0.00005520000000000001,-3.103461977966305e-11,-4.628927035703567e-6
0.00005560000000000001,-3.2834258918573434e-11,-4.3656207661723885e-6
0.000056000000000000006,-3.452423030752508e-11,-4.0806756853271796e-6
0.00005640000000000001,-3.609599758098306e-11,-3.774724019874884e-6
0.00005680000000000001,-3.754132231258404e-11,-3.448626415642418e-6
0.00005720000000000001,-3.88523588466089e-11,-3.103488328809195e-6
0.00005760000000000001,-4.0021754485943167e-11,-2.740670179209583e-6
0.000058,-4.104275224440903e-11,-2.3617898454743582e-6
0.000058399999999999997,-4.190929291056524e-11,-1.968716540815657e-6
0.0000588,-4.261611283555204e-11,-1.563555509089414e-6
0.0000592,-4.315883371467709e-11,-1.1486233851506466e-6
0.0000596,-4.353404070910336e-11,-7.264145892566944e-7
0.00006,-4.3739345553162455e-11,-2.995600565987877e-7
0.0000604,-4.377343182093599e-11,1.2922022354916084e-7
0.0000608,-4.363608028735412e-11,5.571690927139583e-7
0.0000612,-4.3328173177358463e-11,9.815454466862084e-7
0.0000616,-4.285167710633206e-11,1.3996769668097197e-6
0.000062,-4.2209605525326995e-11,1.8090096096192094e-6
0.0000624,-4.1405962402616125e-11,2.207151607051042e-6
0.00006280000000000001,-4.044566969199734e-11,2.591910308287349e-6
0.0000632,-3.933448175406802e-11,2.961320277513751e-6
0.0000636,-3.807889031258453e-11,3.313662507768011e-6
0.00006400000000000001,-3.668602364514621e-11,3.647474104120762e-6
0.00006440000000000001,-3.516354369120957e-11,3.961549089493316e-6
0.0000648,-3.351954448015541e-11,4.254931163042071e-6
0.0000652,-3.176245487763253e-11,4.526899576893469e-6
0.00006560000000000001,-2.990094813252648e-11,4.776949543010134e-6
0.000066,-2.794386012649005e-11,5.004768466237308e-6
0.0000664,-2.590011766955584e-11,5.210209781815557e-6
0.00006680000000000001,-2.3778677572869293e-11,5.3932653321105544e-6
0.00006720000000000001,-2.158847682272243e-11,5.554037988939722e-6
0.0000676,-1.933839360292923e-11,5.6927145287770315e-6
0.00006800000000000001,-1.7037218707179666e-11,5.809541031782733e-6
0.00006840000000000001,-1.4693636521962022e-11,5.904800018531172e-6
0.0000688,-1.2316214492761237e-11,5.978790524843065e-6
0.00006920000000000002,-9.913400029775136e-12,6.031811134441557e-6
0.00006960000000000001,-7.493523554443719e-12,6.064146174981212e-6
0.00007000000000000001,-5.064806426027926e-12,6.076055135450611e-6
0.0000704,-2.635372457944206e-12,6.06776529544518e-6
0.0000708,-2.1326174816517678e-13,6.039467517767455e-6
0.0000712,2.193554420150678e-12,5.9913151077572004e-6
0.0000716,4.577158880722157e-12,5.9234257779668895e-6
0.000072,6.9296751089095434e-12,5.835886153040556e-6
0.0000724,9.24325625585619e-12,5.728759449837129e-6
0.00007280000000000001,1.1510077696594672e-11,5.602095413998544e-6
0.0000732,1.3722334025034029e-11,5.455942655334815e-6
0.0000736,1.587224148778949e-11,5.290363398089843e-6
0.000074,1.795204660874567e-11,5.105449705245634e-6
0.0000744,1.995404169241914e-11,4.9013415115444435e-6
0.0000748,2.1870587682722754e-11,4.678245254534839e-6
0.0000752,2.3694144728135217e-11,4.436453776093776e-6
0.00007560000000000001,2.5417310419658745e-11,4.176364562287092e-6
0.000076,2.7032865606654367e-11,3.898499237447988e-6
0.0000764,2.853382712768425e-11,3.6035189004267846e-6
0.00007680000000000001,2.991350665212389e-11,3.2922385274566635e-6
0.0000772,3.116557441977578e-11,2.9656373855332754e-6
0.0000776,3.228412630125978e-11,2.62486503457198e-6
0.00007800000000000001,3.326375235962685e-11,2.2712426189887824e-6
0.00007840000000000001,3.409960480763756e-11,1.9062585572909693e-6
0.0000788,3.4787463108443804e-11,1.531558515238699e-6
0.00007920000000000001,3.532379391464955e-11,1.1489296906593131e-6
0.00007960000000000001,3.570580359005894e-11,7.602794936354686e-7
0.00008,3.593148125068865e-11,3.6760953787476593e-7
0.0000804,3.5999630581366424e-11,-2.7014179303205267e-8
0.00008080000000000001,3.5909889086262985e-11,-4.2149416239749325e-7
0.00008120000000000001,3.5662733990891505e-11,-8.13734966822598e-7
0.0000816,3.525947448523898e-11,-1.2016777311203927e-6
0.00008200000000000001,3.4702230699389805e-11,-1.5833319690434805e-6
0.00008240000000000001,3.3993900242011185e-11,-1.9568052882242466e-6
0.00008280000000000001,3.31381137633716e-11,-2.320328718358095e-6
0.00008320000000000002,3.2139181294889136e-11,-2.672277282838634e-6
0.0000836,3.100203146569438e-11,-3.011185006818527e-6
0.000084,2.973214587279423e-11,-3.335754122137814e-6
0.0000844,2.833549087865244e-11,-3.6448586560938775e-6
