phase_data,a_data1,a_data2,a_data3,a_data4,a_data5,a_data6,a_data7,a_data8,a_data9,a_data10,a_data11,a_data12,a_data13,a_data14,a_data15
4.85708e-06,8.0625e-06,1.1475e-07,-1.0687e-05,9.1343e-06,8.111e-06,6.834e-06,6.7566e-07,1.1658e-06,-5.3025e-06,2.635e-06,2.9658e-06,2.0374e-06,8.4953e-06,1.8978e-06,-1.7744e-06
9.71416e-06,2.6311e-05,6.5275e-06,3.2697e-06,-8.1433e-06,5.1195e-06,4.5533e-06,-4.8544e-06,-8.8085e-06,5.4422e-06,1.1056e-05,-9.9576e-06,5.5406e-06,2.9999e-06,6.2859e-06,6.4171e-07
1.6121917e-05,1.9169e-05,-5.8519e-06,3.2265e-06,-1.2063e-05,-1.2739e-05,9.8715e-06,-2.6065e-06,-4.7877e-06,9.0205e-07,3.5559e-06,3.7045e-06,4.9062e-06,-4.3474e-06,-1.7916e-06,-7.6832e-06
2.2529674e-05,-3.4112e-05,-9.7351e-06,2.2403e-06,-2.5264e-05,-1.3309e-05,-2.9318e-06,3.6735e-06,6.8779e-07,-3.4466e-06,-2.396e-06,-1.0354e-05,-8.3065e-06,-1.2629e-06,-6.7697e-06,1.0728e-05
3.0539371e-05,-3.0759e-05,4.7395e-06,-3.8209e-07,-2.4671e-05,1.5318e-06,1.6624e-06,-1.6482e-07,-2.2627e-05,-3.0147e-06,2.7101e-06,-4.1387e-06,-3.365e-07,7.0201e-06,-6.8884e-07,-1.4768e-05
3.8549067e-05,-6.5507e-07,-4.0797e-05,4.9163e-06,-8.3132e-06,-1.4033e-06,1.9826e-06,-5.1495e-06,6.4239e-06,-5.5774e-07,1.8424e-06,-7.9213e-06,1.0633e-06,-5.0791e-06,-1.4662e-06,3.9429e-06
5.1364582e-05,-3.2467e-05,-3.5639e-05,2.3649e-08,-5.0054e-06,-8.6834e-06,5.23e-06,-9.6071e-06,3.9943e-06,2.6784e-06,8.7135e-06,-1.029e-06,-1.7226e-06,-2.7252e-06,-2.6157e-06,-2.5763e-06
6.4180096e-05,-5.412e-06,-5.7825e-05,1.2419e-05,-6.0909e-06,-1.5801e-05,3.9922e-06,-5.1378e-06,-1.1377e-06,8.1578e-06,-9.953e-06,-8.0444e-07,-5.9327e-06,-2.2956e-06,-2.3189e-08,-4.6303e-06
8.5005307e-05,1.26e-05,1.2576e-05,2.018e-06,7.3818e-06,1.4132e-06,-3.0403e-05,-1.9393e-05,2.491e-06,3.946e-07,5.5972e-06,2.6161e-06,8.0398e-06,2.3163e-06,-9.5945e-06,5.6241e-07
0.000105830518,7.1574e-05,6.0117e-06,-4.241e-05,-2.4054e-06,-5.9682e-07,-2.2251e-05,-2.3058e-05,2.5805e-06,-1.5482e-05,6.7491e-06,7.8361e-06,3.0229e-06,-4.6995e-06,-2.7206e-06,1.0128e-06
0.000134665425,5.0969e-05,-2.5048e-05,-1.8826e-05,-2.2559e-05,-8.4963e-06,-1.387e-05,-1.4379e-05,-7.096e-06,-2.1814e-05,-2.1448e-06,-2.1086e-06,-3.3022e-06,-3.731e-07,-2.2543e-06,-2.1083e-06
0.000163500332,8.9031e-05,3.7347e-05,7.5778e-06,-6.1109e-06,-3.3965e-05,2.067e-05,-6.2903e-06,-1.5969e-05,-5.4109e-06,-1.8379e-05,9.2967e-07,-9.3313e-06,4.7765e-06,1.4373e-05,-1.011e-05
0.000198742997,0.00018168,-8.064e-06,-3.4345e-05,5.6269e-05,-2.9698e-05,1.2176e-05,-1.1327e-05,-8.2844e-06,1.8156e-06,-2.9004e-05,-4.3146e-06,-6.4417e-06,2.7541e-06,9.3408e-06,-1.1366e-05
0.000233985661,0.00029542,-8.4698e-05,2.2742e-05,1.1013e-06,-1.877e-05,1.3741e-06,-5.1592e-06,-8.9495e-06,-5.8657e-06,-3.3082e-05,-1.6996e-05,-1.1717e-05,1.0561e-06,-2.2575e-06,2.4528e-06
0.000288451597,0.00043799,2.0971e-05,3.0983e-05,2.6075e-05,-3.4436e-05,-3.1738e-06,-1.0533e-05,-1.2717e-05,-2.2422e-05,-4.4395e-05,-2.5765e-05,-1.1151e-05,5.166e-07,5.9156e-06,-9.7037e-06
0.000342917533,0.00055455,8.7113e-05,-7.9195e-05,1.7531e-05,-2.0493e-06,-1.6171e-05,-3.4005e-07,-1.1057e-05,-2.465e-05,-2.564e-05,-9.53e-06,-2.1853e-05,9.5576e-06,-2.6366e-06,1.3955e-05
0.000416606228,0.00076294,5.5077e-05,-9.2523e-06,-9.7541e-06,4.8899e-05,-1.878e-05,1.0044e-05,-6.1377e-06,-2.3617e-05,-3.9799e-05,-1.7295e-05,1.0289e-06,9.2066e-06,7.7028e-06,9.7788e-06
0.000490294923,0.00087489,-5.0783e-05,7.2437e-06,6.172e-05,-6.8015e-06,1.7365e-05,1.9572e-05,6.3471e-06,-1.968e-05,-2.2531e-05,-1.9473e-05,-2.5918e-06,5.9588e-06,7.9054e-07,5.5488e-06
0.000589615159,0.00097323,-5.9878e-05,-0.0001078,1.6698e-05,-3.8525e-05,3.5751e-05,2.8203e-05,1.5126e-06,-2.4029e-06,-1.7019e-05,-1.8979e-05,6.4446e-06,6.1199e-06,1.1197e-05,-4.1905e-06
0.000688935395,0.0012821,-1.4184e-05,4.0485e-05,2.1507e-05,-1.5006e-06,1.6617e-05,3.8808e-05,1.1693e-05,1.9826e-05,-2.4419e-05,-6.9523e-06,1.3243e-06,4.3523e-06,1.2669e-05,-1.3426e-05
0.000812285234,0.0015649,3.7654e-05,-4.8034e-05,8.8736e-05,3.6332e-05,1.3078e-05,4.0363e-05,2.8871e-05,3.1375e-05,-1.4021e-05,-1.0287e-05,6.3859e-06,-1.6663e-05,1.5552e-06,-2.4262e-05
0.000935635072,0.001741,-7.0324e-05,-4.1587e-05,-2.3951e-05,1.0937e-05,-6.0975e-07,3.32e-05,3.2508e-05,1.3691e-05,-3.7895e-07,-5.5551e-06,5.6931e-06,-1.0245e-05,3.7613e-06,-1.3582e-05
0.001097430428,0.002142,-4.1267e-06,4.3833e-05,-3.7908e-05,-1.4353e-05,2.8613e-06,1.147e-05,2.0664e-05,1.9239e-05,2.8132e-05,5.7157e-06,7.4909e-06,-1.0018e-05,1.3398e-05,-7.6838e-06
0.001259225784,0.0025138,4.8381e-05,-6.2064e-05,2.9977e-05,4.5782e-05,1.768e-06,-5.5103e-06,5.052e-05,3.9519e-05,3.6449e-05,3.0127e-05,-4.483e-06,-4.0399e-06,1.3208e-05,-1.2665e-05
0.001461070135,0.0028804,4.2471e-05,-1.2569e-05,-2.0797e-05,3.1541e-05,1.4178e-05,-6.8341e-07,3.6759e-05,5.4498e-05,4.0805e-05,2.654e-05,8.6443e-06,-3.0984e-05,-1.0131e-05,-1.5164e-05
