             name        n             e  length             s               type
3      tcl.4r1.b1      0.0  0.000000e+00   1.000    150.030000  EverestCollimator
5      tcl.5r1.b1      0.0  0.000000e+00   1.000    184.357000  EverestCollimator
7      tcl.6r1.b1      0.0  0.000000e+00   1.000    219.013000  EverestCollimator
45   tctph.4l2.b1      0.0  0.000000e+00   1.000   3213.903584  EverestCollimator
49   tctpv.4l2.b1      0.0  0.000000e+00   1.000   3215.903583  EverestCollimator
52  tdisa.a4l2.b1      0.0  0.000000e+00   1.565   3249.693583  EverestCollimator
53  tdisb.a4l2.b1      0.0  0.000000e+00   1.565   3251.273583  EverestCollimator
54  tdisc.a4l2.b1      0.0  0.000000e+00   1.565   3252.853583  EverestCollimator
19      tclia.4r2      0.0  0.000000e+00   1.000   3403.984583  EverestCollimator
20   tclib.6r2.b1      0.0  0.000000e+00   1.000   3560.090583  EverestCollimator
18  tcld.a11r2.b1      0.0  0.000000e+00   0.600   3758.149975  EverestCollimator
21     tcp.6l3.b1  57264.0  3.899955e+17   0.600   6487.671299  EverestCollimator
26    tcsg.5l3.b1   1474.0  9.843632e+15   1.000   6520.992797  EverestCollimator
25    tcsg.4r3.b1   3053.0  2.075605e+16   1.000   6707.575797  EverestCollimator
31   tcsg.a5r3.b1   1456.0  9.839558e+15   1.000   6718.920797  EverestCollimator
35   tcsg.b5r3.b1   1143.0  7.704383e+15   1.000   6724.740797  EverestCollimator
11   tcla.a5r3.b1    139.0  9.277786e+14   1.000   6755.220797  EverestCollimator
14   tcla.b5r3.b1     78.0  5.133363e+14   1.000   6757.220797  EverestCollimator
9     tcla.6r3.b1     14.0  9.366067e+13   1.000   6843.770295  EverestCollimator
10    tcla.7r3.b1    314.0  2.055655e+15   1.000   6915.175795  EverestCollimator
46   tctph.4l5.b1     99.0  6.731592e+14   1.000  13181.344217  EverestCollimator
50   tctpv.4l5.b1    557.0  3.793260e+15   1.000  13183.344217  EverestCollimator
4      tcl.4r5.b1      0.0  0.000000e+00   1.000  13479.319217  EverestCollimator
6      tcl.5r5.b1      0.0  0.000000e+00   1.000  13513.553216  EverestCollimator
8      tcl.6r5.b1      3.0  2.042572e+13   1.000  13550.863216  EverestCollimator
0   tcdqa.a4r6.b1    550.0  3.745538e+15   3.000  16804.965799  EverestCollimator
2   tcdqa.c4r6.b1      5.0  3.405128e+13   3.000  16808.515799  EverestCollimator
1   tcdqa.b4r6.b1      5.0  3.405017e+13   3.000  16812.065799  EverestCollimator
40   tcsp.a4r6.b1     21.0  1.430138e+14   1.000  16815.975799  EverestCollimator
24    tcp.d6l7.b1   6008.0  4.091298e+16   0.600  19789.184383  EverestCollimator
23    tcp.c6l7.b1  19079.0  1.299002e+17   0.600  19791.184382  EverestCollimator
22    tcp.b6l7.b1   1435.0  9.766026e+15   0.600  19793.184382  EverestCollimator
32   tcsg.a6l7.b1    803.0  5.406232e+15   1.000  19832.678881  EverestCollimator
34   tcsg.b5l7.b1   1405.0  9.504442e+15   1.000  19891.906381  EverestCollimator
30   tcsg.a5l7.b1    657.0  4.449654e+15   1.000  19895.906381  EverestCollimator
37   tcsg.d4l7.b1    368.0  2.500252e+15   1.000  19917.236381  EverestCollimator
33   tcsg.b4l7.b1      0.0  0.000000e+00   1.000  19987.162381  EverestCollimator
42  tcspm.b4l7.b1    251.0  1.706981e+15   1.000  19989.162381  EverestCollimator
28   tcsg.a4l7.b1    401.0  2.727931e+15   1.000  19991.162381  EverestCollimator
29   tcsg.a4r7.b1    409.0  2.782001e+15   1.000  19995.162381  EverestCollimator
36   tcsg.b5r7.b1    232.0  1.578232e+15   1.000  20086.418381  EverestCollimator
38   tcsg.d5r7.b1    500.0  3.401360e+15   1.000  20102.418381  EverestCollimator
39   tcsg.e5r7.b1      0.0  0.000000e+00   1.000  20106.418381  EverestCollimator
43  tcspm.e5r7.b1     67.0  4.555382e+14   1.000  20108.418381  EverestCollimator
27    tcsg.6r7.b1      0.0  0.000000e+00   1.000  20141.023381  EverestCollimator
41   tcspm.6r7.b1    164.0  1.115655e+15   1.000  20143.023381  EverestCollimator
12   tcla.a6r7.b1     20.0  1.337844e+14   1.000  20148.089381  EverestCollimator
15   tcla.b6r7.b1      1.0  6.809059e+12   1.000  20178.963380  EverestCollimator
16   tcla.c6r7.b1      9.0  6.111564e+13   1.000  20212.232378  EverestCollimator
17   tcla.d6r7.b1      9.0  6.081640e+13   1.000  20214.232378  EverestCollimator
13   tcla.a7r7.b1      5.0  3.404199e+13   1.000  20231.860378  EverestCollimator
47   tctph.4l8.b1      1.0  6.762653e+12   1.000  23197.145962  EverestCollimator
51   tctpv.4l8.b1      0.0  0.000000e+00   1.000  23199.145962  EverestCollimator
44   tctph.4l1.b1      4.0  2.711274e+13   1.000  26510.938177  EverestCollimator
48   tctpv.4l1.b1     11.0  7.473304e+13   1.000  26512.938177  EverestCollimator
