             name           n             e  length             s               type
3      tcl.4r1.b1         1.0  6.796933e+12   1.000    150.030000  EverestCollimator
5      tcl.5r1.b1         0.0  0.000000e+00   1.000    184.357000  EverestCollimator
7      tcl.6r1.b1       341.0  2.303091e+15   1.000    219.013000  EverestCollimator
45   tctph.4l2.b1         0.0  0.000000e+00   1.000   3213.903584  EverestCollimator
49   tctpv.4l2.b1         0.0  0.000000e+00   1.000   3215.903583  EverestCollimator
52  tdisa.a4l2.b1         0.0  0.000000e+00   1.565   3249.693583  EverestCollimator
53  tdisb.a4l2.b1         0.0  0.000000e+00   1.565   3251.273583  EverestCollimator
54  tdisc.a4l2.b1         0.0  0.000000e+00   1.565   3252.853583  EverestCollimator
19      tclia.4r2         0.0  0.000000e+00   1.000   3403.984583  EverestCollimator
20   tclib.6r2.b1         0.0  0.000000e+00   1.000   3560.090583  EverestCollimator
18  tcld.a11r2.b1         0.0  0.000000e+00   0.600   3758.149975  EverestCollimator
21     tcp.6l3.b1      2365.0  1.602825e+16   0.600   6487.671299  EverestCollimator
26    tcsg.5l3.b1       558.0  3.771734e+15   1.000   6520.992797  EverestCollimator
25    tcsg.4r3.b1       175.0  1.178821e+15   1.000   6707.575797  EverestCollimator
31   tcsg.a5r3.b1        69.0  4.670404e+14   1.000   6718.920797  EverestCollimator
35   tcsg.b5r3.b1        11.0  7.430684e+13   1.000   6724.740797  EverestCollimator
11   tcla.a5r3.b1         2.0  1.345024e+13   1.000   6755.220797  EverestCollimator
14   tcla.b5r3.b1         2.0  1.346244e+13   1.000   6757.220797  EverestCollimator
9     tcla.6r3.b1         0.0  0.000000e+00   1.000   6843.770295  EverestCollimator
10    tcla.7r3.b1         5.0  3.365731e+13   1.000   6915.175795  EverestCollimator
46   tctph.4l5.b1      2675.0  1.816499e+16   1.000  13181.344217  EverestCollimator
50   tctpv.4l5.b1       359.0  2.440737e+15   1.000  13183.344217  EverestCollimator
4      tcl.4r5.b1         0.0  0.000000e+00   1.000  13479.319217  EverestCollimator
6      tcl.5r5.b1         0.0  0.000000e+00   1.000  13513.553216  EverestCollimator
8      tcl.6r5.b1         2.0  1.358403e+13   1.000  13550.863216  EverestCollimator
0   tcdqa.a4r6.b1      1179.0  8.015903e+15   3.000  16804.965799  EverestCollimator
2   tcdqa.c4r6.b1        19.0  1.291799e+14   3.000  16808.515799  EverestCollimator
1   tcdqa.b4r6.b1        22.0  1.495822e+14   3.000  16812.065799  EverestCollimator
40   tcsp.a4r6.b1       240.0  1.631604e+15   1.000  16815.975799  EverestCollimator
24    tcp.d6l7.b1     27439.0  1.865675e+17   0.600  19789.184383  EverestCollimator
23    tcp.c6l7.b1  30685304.0  2.086592e+20   0.600  19791.184382  EverestCollimator
22    tcp.b6l7.b1   1330746.0  9.044403e+18   0.600  19793.184382  EverestCollimator
32   tcsg.a6l7.b1    760337.0  5.103386e+18   1.000  19832.678881  EverestCollimator
34   tcsg.b5l7.b1   1485534.0  1.001763e+19   1.000  19891.906381  EverestCollimator
30   tcsg.a5l7.b1    694003.0  4.691393e+18   1.000  19895.906381  EverestCollimator
37   tcsg.d4l7.b1    221530.0  1.497457e+18   1.000  19917.236381  EverestCollimator
33   tcsg.b4l7.b1         0.0  0.000000e+00   1.000  19987.162381  EverestCollimator
42  tcspm.b4l7.b1    276516.0  1.875706e+18   1.000  19989.162381  EverestCollimator
28   tcsg.a4l7.b1    170471.0  1.156435e+18   1.000  19991.162381  EverestCollimator
29   tcsg.a4r7.b1    162089.0  1.100417e+18   1.000  19995.162381  EverestCollimator
36   tcsg.b5r7.b1    257777.0  1.748794e+18   1.000  20086.418381  EverestCollimator
38   tcsg.d5r7.b1    250945.0  1.704317e+18   1.000  20102.418381  EverestCollimator
39   tcsg.e5r7.b1         0.0  0.000000e+00   1.000  20106.418381  EverestCollimator
43  tcspm.e5r7.b1    130778.0  8.879379e+17   1.000  20108.418381  EverestCollimator
27    tcsg.6r7.b1         0.0  0.000000e+00   1.000  20141.023381  EverestCollimator
41   tcspm.6r7.b1    239594.0  1.627754e+18   1.000  20143.023381  EverestCollimator
12   tcla.a6r7.b1      7457.0  4.999604e+16   1.000  20148.089381  EverestCollimator
15   tcla.b6r7.b1      2495.0  1.670955e+16   1.000  20178.963380  EverestCollimator
16   tcla.c6r7.b1      6926.0  4.663743e+16   1.000  20212.232378  EverestCollimator
17   tcla.d6r7.b1      5100.0  3.348202e+16   1.000  20214.232378  EverestCollimator
13   tcla.a7r7.b1      2967.0  1.967213e+16   1.000  20231.860378  EverestCollimator
47   tctph.4l8.b1      2028.0  1.370944e+16   1.000  23197.145962  EverestCollimator
51   tctpv.4l8.b1       140.0  9.515698e+14   1.000  23199.145962  EverestCollimator
44   tctph.4l1.b1      7481.0  5.076035e+16   1.000  26510.938177  EverestCollimator
48   tctpv.4l1.b1       326.0  2.205608e+15   1.000  26512.938177  EverestCollimator
