             name          n             e  length             s               type
3      tcl.4r1.b1        0.0  0.000000e+00   1.000    150.030000  EverestCollimator
5      tcl.5r1.b1        0.0  0.000000e+00   1.000    184.357000  EverestCollimator
7      tcl.6r1.b1       76.0  5.133778e+14   1.000    219.013000  EverestCollimator
45   tctph.4l2.b1        0.0  0.000000e+00   1.000   3213.903584  EverestCollimator
49   tctpv.4l2.b1        0.0  0.000000e+00   1.000   3215.903583  EverestCollimator
52  tdisa.a4l2.b1        0.0  0.000000e+00   1.565   3249.693583  EverestCollimator
53  tdisb.a4l2.b1        0.0  0.000000e+00   1.565   3251.273583  EverestCollimator
54  tdisc.a4l2.b1        0.0  0.000000e+00   1.565   3252.853583  EverestCollimator
19      tclia.4r2        0.0  0.000000e+00   1.000   3403.984583  EverestCollimator
20   tclib.6r2.b1        0.0  0.000000e+00   1.000   3560.090583  EverestCollimator
18  tcld.a11r2.b1        0.0  0.000000e+00   0.600   3758.149975  EverestCollimator
21     tcp.6l3.b1      182.0  1.233616e+15   0.600   6487.671299  EverestCollimator
26    tcsg.5l3.b1       33.0  2.232084e+14   1.000   6520.992797  EverestCollimator
25    tcsg.4r3.b1       15.0  1.013520e+14   1.000   6707.575797  EverestCollimator
31   tcsg.a5r3.b1        2.0  1.356025e+13   1.000   6718.920797  EverestCollimator
35   tcsg.b5r3.b1        1.0  6.776977e+12   1.000   6724.740797  EverestCollimator
11   tcla.a5r3.b1        0.0  0.000000e+00   1.000   6755.220797  EverestCollimator
14   tcla.b5r3.b1        1.0  5.772596e+12   1.000   6757.220797  EverestCollimator
9     tcla.6r3.b1        0.0  0.000000e+00   1.000   6843.770295  EverestCollimator
10    tcla.7r3.b1        0.0  0.000000e+00   1.000   6915.175795  EverestCollimator
46   tctph.4l5.b1       35.0  2.379398e+14   1.000  13181.344217  EverestCollimator
50   tctpv.4l5.b1       24.0  1.631645e+14   1.000  13183.344217  EverestCollimator
4      tcl.4r5.b1        0.0  0.000000e+00   1.000  13479.319217  EverestCollimator
6      tcl.5r5.b1        0.0  0.000000e+00   1.000  13513.553216  EverestCollimator
8      tcl.6r5.b1        2.0  1.359485e+13   1.000  13550.863216  EverestCollimator
0   tcdqa.a4r6.b1        1.0  6.799352e+12   3.000  16804.965799  EverestCollimator
2   tcdqa.c4r6.b1        0.0  0.000000e+00   3.000  16808.515799  EverestCollimator
1   tcdqa.b4r6.b1        0.0  0.000000e+00   3.000  16812.065799  EverestCollimator
40   tcsp.a4r6.b1        1.0  6.798544e+12   1.000  16815.975799  EverestCollimator
24    tcp.d6l7.b1  1505027.0  1.023414e+19   0.600  19789.184383  EverestCollimator
23    tcp.c6l7.b1     1920.0  1.305268e+16   0.600  19791.184382  EverestCollimator
22    tcp.b6l7.b1    73091.0  4.964733e+17   0.600  19793.184382  EverestCollimator
32   tcsg.a6l7.b1    52686.0  3.549460e+17   1.000  19832.678881  EverestCollimator
34   tcsg.b5l7.b1    55289.0  3.726268e+17   1.000  19891.906381  EverestCollimator
30   tcsg.a5l7.b1    38422.0  2.600110e+17   1.000  19895.906381  EverestCollimator
37   tcsg.d4l7.b1    11063.0  7.478173e+16   1.000  19917.236381  EverestCollimator
33   tcsg.b4l7.b1        0.0  0.000000e+00   1.000  19987.162381  EverestCollimator
42  tcspm.b4l7.b1     2320.0  1.564152e+16   1.000  19989.162381  EverestCollimator
28   tcsg.a4l7.b1    11926.0  8.078162e+16   1.000  19991.162381  EverestCollimator
29   tcsg.a4r7.b1     8894.0  6.029958e+16   1.000  19995.162381  EverestCollimator
36   tcsg.b5r7.b1     7578.0  5.141976e+16   1.000  20086.418381  EverestCollimator
38   tcsg.d5r7.b1     5662.0  3.842178e+16   1.000  20102.418381  EverestCollimator
39   tcsg.e5r7.b1        0.0  0.000000e+00   1.000  20106.418381  EverestCollimator
43  tcspm.e5r7.b1     1088.0  7.374798e+15   1.000  20108.418381  EverestCollimator
27    tcsg.6r7.b1        0.0  0.000000e+00   1.000  20141.023381  EverestCollimator
41   tcspm.6r7.b1      246.0  1.662151e+15   1.000  20143.023381  EverestCollimator
12   tcla.a6r7.b1      279.0  1.871515e+15   1.000  20148.089381  EverestCollimator
15   tcla.b6r7.b1       17.0  1.130622e+14   1.000  20178.963380  EverestCollimator
16   tcla.c6r7.b1      174.0  1.176531e+15   1.000  20212.232378  EverestCollimator
17   tcla.d6r7.b1       79.0  5.231143e+14   1.000  20214.232378  EverestCollimator
13   tcla.a7r7.b1       50.0  3.346651e+14   1.000  20231.860378  EverestCollimator
47   tctph.4l8.b1        0.0  0.000000e+00   1.000  23197.145962  EverestCollimator
51   tctpv.4l8.b1       10.0  6.799365e+13   1.000  23199.145962  EverestCollimator
44   tctph.4l1.b1       24.0  1.622494e+14   1.000  26510.938177  EverestCollimator
48   tctpv.4l1.b1      143.0  9.684010e+14   1.000  26512.938177  EverestCollimator
