             name           n             e  length             s               type
3      tcl.4r1.b1         0.0  0.000000e+00   1.000    150.030000  EverestCollimator
5      tcl.5r1.b1         0.0  0.000000e+00   1.000    184.357000  EverestCollimator
7      tcl.6r1.b1        29.0  1.961478e+14   1.000    219.013000  EverestCollimator
47   tctph.4l2.b1         0.0  0.000000e+00   1.000   3213.903584  EverestCollimator
51   tctpv.4l2.b1         0.0  0.000000e+00   1.000   3215.903583  EverestCollimator
54  tdisa.a4l2.b1         0.0  0.000000e+00   1.565   3249.693583  EverestCollimator
55  tdisb.a4l2.b1         0.0  0.000000e+00   1.565   3251.273583  EverestCollimator
56  tdisc.a4l2.b1         0.0  0.000000e+00   1.565   3252.853583  EverestCollimator
19      tclia.4r2         0.0  0.000000e+00   1.000   3403.984583  EverestCollimator
20   tclib.6r2.b1         0.0  0.000000e+00   1.000   3560.090583  EverestCollimator
18  tcld.a11r2.b1         0.0  0.000000e+00   0.600   3758.149975  EverestCollimator
21     tcp.6l3.b1       189.0  1.280737e+15   0.600   6487.671299  EverestCollimator
28    tcsg.5l3.b1        39.0  2.638995e+14   1.000   6520.992797  EverestCollimator
27    tcsg.4r3.b1        17.0  1.149758e+14   1.000   6707.575797  EverestCollimator
33   tcsg.a5r3.b1         2.0  1.357094e+13   1.000   6718.920797  EverestCollimator
37   tcsg.b5r3.b1         0.0  0.000000e+00   1.000   6724.740797  EverestCollimator
11   tcla.a5r3.b1         0.0  0.000000e+00   1.000   6755.220797  EverestCollimator
14   tcla.b5r3.b1         0.0  0.000000e+00   1.000   6757.220797  EverestCollimator
9     tcla.6r3.b1         0.0  0.000000e+00   1.000   6843.770295  EverestCollimator
10    tcla.7r3.b1         0.0  0.000000e+00   1.000   6915.175795  EverestCollimator
48   tctph.4l5.b1       513.0  3.487375e+15   1.000  13181.344217  EverestCollimator
52   tctpv.4l5.b1         4.0  2.718423e+13   1.000  13183.344217  EverestCollimator
4      tcl.4r5.b1         0.0  0.000000e+00   1.000  13479.319217  EverestCollimator
6      tcl.5r5.b1         0.0  0.000000e+00   1.000  13513.553216  EverestCollimator
8      tcl.6r5.b1         0.0  0.000000e+00   1.000  13550.863216  EverestCollimator
0   tcdqa.a4r6.b1        58.0  3.943293e+14   3.000  16804.965799  EverestCollimator
2   tcdqa.c4r6.b1         0.0  0.000000e+00   3.000  16808.515799  EverestCollimator
1   tcdqa.b4r6.b1         0.0  0.000000e+00   3.000  16812.065799  EverestCollimator
42   tcsp.a4r6.b1        41.0  2.787647e+14   1.000  16815.975799  EverestCollimator
24    tcp.d6l7.b1       308.0  2.094160e+15   0.600  19789.184383  EverestCollimator
23    tcp.c6l7.b1   1532462.0  1.042073e+19   0.600  19791.184382  EverestCollimator
22    tcp.b6l7.b1      2857.0  1.942013e+16   0.600  19793.184382  EverestCollimator
34   tcsg.a6l7.b1     33205.0  2.228122e+17   1.000  19832.678881  EverestCollimator
26  tcpcv.a6l7.b1       112.0  7.525549e+14   0.004  19843.623881     EverestCrystal
36   tcsg.b5l7.b1     69530.0  4.691198e+17   1.000  19891.906381  EverestCollimator
32   tcsg.a5l7.b1     30532.0  2.065442e+17   1.000  19895.906381  EverestCollimator
39   tcsg.d4l7.b1      7740.0  5.229336e+16   1.000  19917.236381  EverestCollimator
25  tcpch.a4l7.b1    284476.0  1.934436e+18   0.004  19919.498881     EverestCrystal
35   tcsg.b4l7.b1         0.0  0.000000e+00   1.000  19987.162381  EverestCollimator
44  tcspm.b4l7.b1  22568251.0  1.534623e+20   1.000  19989.162381  EverestCollimator
30   tcsg.a4l7.b1   1061986.0  7.177516e+18   1.000  19991.162381  EverestCollimator
31   tcsg.a4r7.b1    143412.0  9.657733e+17   1.000  19995.162381  EverestCollimator
38   tcsg.b5r7.b1     48398.0  3.271252e+17   1.000  20086.418381  EverestCollimator
40   tcsg.d5r7.b1     27858.0  1.887382e+17   1.000  20102.418381  EverestCollimator
41   tcsg.e5r7.b1         0.0  0.000000e+00   1.000  20106.418381  EverestCollimator
45  tcspm.e5r7.b1     16031.0  1.087803e+17   1.000  20108.418381  EverestCollimator
29    tcsg.6r7.b1         0.0  0.000000e+00   1.000  20141.023381  EverestCollimator
43   tcspm.6r7.b1    294231.0  2.000610e+18   1.000  20143.023381  EverestCollimator
12   tcla.a6r7.b1      1285.0  8.635403e+15   1.000  20148.089381  EverestCollimator
15   tcla.b6r7.b1      4146.0  2.793332e+16   1.000  20178.963380  EverestCollimator
16   tcla.c6r7.b1      3406.0  2.285165e+16   1.000  20212.232378  EverestCollimator
17   tcla.d6r7.b1      4267.0  2.865715e+16   1.000  20214.232378  EverestCollimator
13   tcla.a7r7.b1      2014.0  1.364278e+16   1.000  20231.860378  EverestCollimator
49   tctph.4l8.b1       113.0  7.642211e+14   1.000  23197.145962  EverestCollimator
53   tctpv.4l8.b1         9.0  6.117452e+13   1.000  23199.145962  EverestCollimator
46   tctph.4l1.b1      3982.0  2.707098e+16   1.000  26510.938177  EverestCollimator
50   tctpv.4l1.b1        33.0  2.233458e+14   1.000  26512.938177  EverestCollimator
