             name         n             e  length             s              type
3      tcl.4r1.b1       0.0  0.000000e+00   1.000    150.030000  Geant4Collimator
5      tcl.5r1.b1       0.0  0.000000e+00   1.000    184.357000  Geant4Collimator
7      tcl.6r1.b1       3.0  2.029375e+13   1.000    219.013000  Geant4Collimator
45   tctph.4l2.b1       0.0  0.000000e+00   1.000   3213.903584  Geant4Collimator
49   tctpv.4l2.b1       0.0  0.000000e+00   1.000   3215.903583  Geant4Collimator
52  tdisa.a4l2.b1       0.0  0.000000e+00   1.565   3249.693583  Geant4Collimator
53  tdisb.a4l2.b1       0.0  0.000000e+00   1.565   3251.273583  Geant4Collimator
54  tdisc.a4l2.b1       0.0  0.000000e+00   1.565   3252.853583  Geant4Collimator
19      tclia.4r2       0.0  0.000000e+00   1.000   3403.984583  Geant4Collimator
20   tclib.6r2.b1       0.0  0.000000e+00   1.000   3560.090583  Geant4Collimator
18  tcld.a11r2.b1       0.0  0.000000e+00   0.600   3758.149975  Geant4Collimator
21     tcp.6l3.b1      34.0  1.963989e+14   0.600   6487.671299  Geant4Collimator
26    tcsg.5l3.b1       3.0  1.591310e+13   1.000   6520.992797  Geant4Collimator
25    tcsg.4r3.b1       1.0  6.785718e+12   1.000   6707.575797  Geant4Collimator
31   tcsg.a5r3.b1       1.0  6.788200e+12   1.000   6718.920797  Geant4Collimator
35   tcsg.b5r3.b1       0.0  0.000000e+00   1.000   6724.740797  Geant4Collimator
11   tcla.a5r3.b1       0.0  0.000000e+00   1.000   6755.220797  Geant4Collimator
14   tcla.b5r3.b1       0.0  0.000000e+00   1.000   6757.220797  Geant4Collimator
9     tcla.6r3.b1       0.0  0.000000e+00   1.000   6843.770295  Geant4Collimator
10    tcla.7r3.b1       0.0  0.000000e+00   1.000   6915.175795  Geant4Collimator
46   tctph.4l5.b1      38.0  2.572524e+14   1.000  13181.344217  Geant4Collimator
50   tctpv.4l5.b1       2.0  1.359793e+13   1.000  13183.344217  Geant4Collimator
4      tcl.4r5.b1       0.0  0.000000e+00   1.000  13479.319217  Geant4Collimator
6      tcl.5r5.b1       0.0  0.000000e+00   1.000  13513.553216  Geant4Collimator
8      tcl.6r5.b1       0.0  0.000000e+00   1.000  13550.863216  Geant4Collimator
0   tcdqa.a4r6.b1      12.0  8.016028e+13   3.000  16804.965799  Geant4Collimator
2   tcdqa.c4r6.b1       1.0  1.422819e+12   3.000  16808.515799  Geant4Collimator
1   tcdqa.b4r6.b1       0.0  0.000000e+00   3.000  16812.065799  Geant4Collimator
40   tcsp.a4r6.b1       6.0  4.079414e+13   1.000  16815.975799  Geant4Collimator
24    tcp.d6l7.b1     299.0  1.849348e+15   0.600  19789.184383  Geant4Collimator
23    tcp.c6l7.b1  249356.0  1.493976e+18   0.600  19791.184382  Geant4Collimator
22    tcp.b6l7.b1   22495.0  8.120085e+16   0.600  19793.184382  Geant4Collimator
32   tcsg.a6l7.b1   39991.0  1.110137e+17   1.000  19832.678881  Geant4Collimator
34   tcsg.b5l7.b1   13056.0  7.540775e+16   1.000  19891.906381  Geant4Collimator
30   tcsg.a5l7.b1    6993.0  3.658573e+16   1.000  19895.906381  Geant4Collimator
37   tcsg.d4l7.b1    3138.0  1.438370e+16   1.000  19917.236381  Geant4Collimator
33   tcsg.b4l7.b1       1.0  7.141299e+11   1.000  19987.162381  Geant4Collimator
42  tcspm.b4l7.b1    2875.0  1.693220e+16   1.000  19989.162381  Geant4Collimator
28   tcsg.a4l7.b1    1896.0  1.088533e+16   1.000  19991.162381  Geant4Collimator
29   tcsg.a4r7.b1    1809.0  1.012008e+16   1.000  19995.162381  Geant4Collimator
36   tcsg.b5r7.b1    2634.0  1.576116e+16   1.000  20086.418381  Geant4Collimator
38   tcsg.d5r7.b1    2703.0  1.553706e+16   1.000  20102.418381  Geant4Collimator
39   tcsg.e5r7.b1       0.0  0.000000e+00   1.000  20106.418381  Geant4Collimator
43  tcspm.e5r7.b1    1582.0  8.621736e+15   1.000  20108.418381  Geant4Collimator
27    tcsg.6r7.b1       0.0  0.000000e+00   1.000  20141.023381  Geant4Collimator
41   tcspm.6r7.b1    2341.0  1.443690e+16   1.000  20143.023381  Geant4Collimator
12   tcla.a6r7.b1     336.0  9.589117e+14   1.000  20148.089381  Geant4Collimator
15   tcla.b6r7.b1     167.0  4.874206e+14   1.000  20178.963380  Geant4Collimator
16   tcla.c6r7.b1      71.0  4.361947e+14   1.000  20212.232378  Geant4Collimator
17   tcla.d6r7.b1      44.0  2.742893e+14   1.000  20214.232378  Geant4Collimator
13   tcla.a7r7.b1      23.0  1.468804e+14   1.000  20231.860378  Geant4Collimator
47   tctph.4l8.b1       4.0  2.708517e+13   1.000  23197.145962  Geant4Collimator
51   tctpv.4l8.b1       5.0  3.399163e+13   1.000  23199.145962  Geant4Collimator
44   tctph.4l1.b1      69.0  4.685227e+14   1.000  26510.938177  Geant4Collimator
48   tctpv.4l1.b1       3.0  2.034735e+13   1.000  26512.938177  Geant4Collimator
