             name     n_prim          n        e_prim             e  length             s               type
3      tcl.4r1.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.000    150.030000  EverestCollimator
5      tcl.5r1.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.000    184.357000  EverestCollimator
7      tcl.6r1.b1        0.0       59.0  0.000000e+00  3.985654e+14   1.000    219.013000  EverestCollimator
45   tctph.4l2.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.000   3213.903584  EverestCollimator
49   tctpv.4l2.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.000   3215.903583  EverestCollimator
52  tdisa.a4l2.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.565   3249.693583  EverestCollimator
53  tdisb.a4l2.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.565   3251.273583  EverestCollimator
54  tdisc.a4l2.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.565   3252.853583  EverestCollimator
19      tclia.4r2        0.0        0.0  0.000000e+00  0.000000e+00   1.000   3403.984583  EverestCollimator
20   tclib.6r2.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.000   3560.090583  EverestCollimator
18  tcld.a11r2.b1        0.0        0.0  0.000000e+00  0.000000e+00   0.600   3758.149975  EverestCollimator
21     tcp.6l3.b1        0.0      165.0  0.000000e+00  1.118407e+15   0.600   6487.671299  EverestCollimator
26    tcsg.5l3.b1        0.0       34.0  0.000000e+00  2.293854e+14   1.000   6520.992797  EverestCollimator
25    tcsg.4r3.b1        0.0       11.0  0.000000e+00  7.362938e+13   1.000   6707.575797  EverestCollimator
31   tcsg.a5r3.b1        0.0        3.0  0.000000e+00  2.035771e+13   1.000   6718.920797  EverestCollimator
35   tcsg.b5r3.b1        0.0        3.0  0.000000e+00  2.029865e+13   1.000   6724.740797  EverestCollimator
11   tcla.a5r3.b1        0.0        1.0  0.000000e+00  6.780866e+12   1.000   6755.220797  EverestCollimator
14   tcla.b5r3.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.000   6757.220797  EverestCollimator
9     tcla.6r3.b1        0.0        1.0  0.000000e+00  6.068804e+12   1.000   6843.770295  EverestCollimator
10    tcla.7r3.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.000   6915.175795  EverestCollimator
46   tctph.4l5.b1        0.0       29.0  0.000000e+00  1.971150e+14   1.000  13181.344217  EverestCollimator
50   tctpv.4l5.b1        0.0      161.0  0.000000e+00  1.094617e+15   1.000  13183.344217  EverestCollimator
4      tcl.4r5.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.000  13479.319217  EverestCollimator
6      tcl.5r5.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.000  13513.553216  EverestCollimator
8      tcl.6r5.b1        0.0        2.0  0.000000e+00  1.353289e+13   1.000  13550.863216  EverestCollimator
0   tcdqa.a4r6.b1        0.0        2.0  0.000000e+00  1.358028e+13   3.000  16804.965799  EverestCollimator
2   tcdqa.c4r6.b1        0.0        0.0  0.000000e+00  0.000000e+00   3.000  16808.515799  EverestCollimator
1   tcdqa.b4r6.b1        0.0        0.0  0.000000e+00  0.000000e+00   3.000  16812.065799  EverestCollimator
40   tcsp.a4r6.b1        0.0        1.0  0.000000e+00  6.799421e+12   1.000  16815.975799  EverestCollimator
24    tcp.d6l7.b1  1312782.0  1414307.0  8.927046e+18  9.617412e+18   0.600  19789.184383  EverestCollimator
23    tcp.c6l7.b1       11.0     1507.0  7.480151e+13  1.024601e+16   0.600  19791.184382  EverestCollimator
22    tcp.b6l7.b1    29236.0    54749.0  1.988092e+17  3.717023e+17   0.600  19793.184382  EverestCollimator
32   tcsg.a6l7.b1        0.0    49104.0  0.000000e+00  3.309712e+17   1.000  19832.678881  EverestCollimator
34   tcsg.b5l7.b1        0.0    49024.0  0.000000e+00  3.304700e+17   1.000  19891.906381  EverestCollimator
30   tcsg.a5l7.b1        8.0    36230.0  5.439853e+13  2.452384e+17   1.000  19895.906381  EverestCollimator
37   tcsg.d4l7.b1   340819.0   430279.0  2.317672e+18  2.925517e+18   1.000  19917.236381  EverestCollimator
33   tcsg.b4l7.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.000  19987.162381  EverestCollimator
42  tcspm.b4l7.b1        0.0     9981.0  0.000000e+00  6.703528e+16   1.000  19989.162381  EverestCollimator
28   tcsg.a4l7.b1        0.0    14311.0  0.000000e+00  9.675522e+16   1.000  19991.162381  EverestCollimator
29   tcsg.a4r7.b1       19.0    10425.0  1.292010e+14  7.060977e+16   1.000  19995.162381  EverestCollimator
36   tcsg.b5r7.b1        0.0     9281.0  0.000000e+00  6.290044e+16   1.000  20086.418381  EverestCollimator
38   tcsg.d5r7.b1       41.0     7677.0  2.788133e+14  5.209219e+16   1.000  20102.418381  EverestCollimator
39   tcsg.e5r7.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.000  20106.418381  EverestCollimator
43  tcspm.e5r7.b1        0.0     1597.0  0.000000e+00  1.081671e+16   1.000  20108.418381  EverestCollimator
27    tcsg.6r7.b1        0.0        0.0  0.000000e+00  0.000000e+00   1.000  20141.023381  EverestCollimator
41   tcspm.6r7.b1        0.0     1016.0  0.000000e+00  6.884130e+15   1.000  20143.023381  EverestCollimator
12   tcla.a6r7.b1        0.0      282.0  0.000000e+00  1.894476e+15   1.000  20148.089381  EverestCollimator
15   tcla.b6r7.b1        0.0       21.0  0.000000e+00  1.380560e+14   1.000  20178.963380  EverestCollimator
16   tcla.c6r7.b1        0.0      167.0  0.000000e+00  1.127371e+15   1.000  20212.232378  EverestCollimator
17   tcla.d6r7.b1        0.0      125.0  0.000000e+00  8.070828e+14   1.000  20214.232378  EverestCollimator
13   tcla.a7r7.b1        0.0       59.0  0.000000e+00  3.914279e+14   1.000  20231.860378  EverestCollimator
47   tctph.4l8.b1        0.0        6.0  0.000000e+00  4.050639e+13   1.000  23197.145962  EverestCollimator
51   tctpv.4l8.b1        0.0       15.0  0.000000e+00  1.019560e+14   1.000  23199.145962  EverestCollimator
44   tctph.4l1.b1        0.0       59.0  0.000000e+00  4.001119e+14   1.000  26510.938177  EverestCollimator
48   tctpv.4l1.b1        0.0      203.0  0.000000e+00  1.377355e+15   1.000  26512.938177  EverestCollimator
