turn,collimator,interaction_type,id_before,s_before,x_before,px_before,y_before,py_before,zeta_before,delta_before,energy_before,mass_before,charge_before,z_before,a_before,pdgid_before,id_after,s_after,x_after,px_after,y_after,py_after,zeta_after,delta_after,energy_after,mass_after,charge_after,z_after,a_after,pdgid_after
0,TPCH,Enter Jaw L,0,0.0,0.00025996300750035645,0.00019276625843471642,-0.0010961087746137218,2.3183929856272444e-06,0.0,0.0,400001100441.62555,938272088.16,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,TPCH,Enter Jaw L,1,0.0,0.00021120361109581813,0.00022174398859228743,0.0002686205496036318,-3.532966337694993e-06,0.0,0.0,400001100441.62555,938272088.16,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,TPCH,Enter Jaw L,2,0.0,0.0001224421754207046,3.63074316413742e-06,-0.002338641018690592,1.3561042781609182e-05,0.0,0.0,400001100441.62555,938272088.16,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,TPCH,Enter Jaw L,4,0.0,0.00013462530033547457,0.00010003534208291301,-0.0014057014429457889,-5.980322810378269e-07,0.0,0.0,400001100441.62555,938272088.16,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,TPCH,Enter Jaw L,5,0.0,0.0002655771963229901,0.00022475996581338784,-0.0007394827957658385,1.5618965529559404e-06,0.0,0.0,400001100441.62555,938272088.16,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,TPCH,Enter Jaw L,6,0.0,0.0001926320123453555,-2.377181530426703e-05,-0.0008128940461431245,7.33964424553841e-06,0.0,0.0,400001100441.62555,938272088.16,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,TPCH,Enter Jaw L,7,0.0,0.0003125953020964834,6.973774214558045e-05,0.001124784249248799,1.5771978610065017e-06,0.0,0.0,400001100441.62555,938272088.16,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,TPCH,Enter Jaw L,8,0.0,0.000102577055162503,2.5719715716427475e-05,-0.001571552571484554,2.0538036433546797e-06,0.0,0.0,400001100441.62555,938272088.16,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,TPCH,Enter Jaw L,9,0.0,9.40098101491814e-05,8.672775916361045e-06,0.0006774900748243981,-3.613771079203693e-06,0.0,0.0,400001100441.62555,938272088.16,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,TPCH,Enter Jaw L,10,0.0,0.0001615746370802844,-1.0792179329372286e-05,0.0011555407084113535,-4.749676870210979e-06,0.0,0.0,400001100441.62555,938272088.16,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
