index,weight
0,1.925813512132108052e+00
1,-2.426372982107218856e+00
2,1.925813512132108052e+00
3,-2.212178813417215117e+00
4,2.787170653155812250e+00
5,-2.212178813417215117e+00
6,1.925813512132108052e+00
7,-2.426372982107218856e+00
8,1.925813512132108052e+00
9,-2.126270504036395170e+00
10,2.678932965806036570e+00
11,-2.126270504036395170e+00
12,2.442443430265324622e+00
13,-3.077285890968722626e+00
14,2.442443430265324622e+00
15,-2.126270504036395170e+00
16,2.678932965806036570e+00
17,-2.126270504036395170e+00
18,1.925813512132108052e+00
19,-2.426372982107218856e+00
20,1.925813512132108052e+00
21,-2.212178813417215117e+00
22,2.787170653155812250e+00
23,-2.212178813417215117e+00
24,1.925813512132108052e+00
25,-2.426372982107218856e+00
26,1.925813512132108052e+00
27,-2.079993639068679290e+00
28,2.620627769510068372e+00
29,-2.079993639068679290e+00
30,2.389285271602488603e+00
31,-3.010310807895764551e+00
32,2.389285271602488603e+00
33,-2.079993639068679290e+00
34,2.620627769510068372e+00
35,-2.079993639068679290e+00
36,2.296499165403961040e+00
37,-2.893407639558458477e+00
38,2.296499165403961040e+00
39,-2.637984813551594421e+00
40,3.323652595896655626e+00
41,-2.637984813551594421e+00
42,2.296499165403961040e+00
43,-2.893407639558458477e+00
44,2.296499165403961040e+00
45,-2.079993639068679290e+00
46,2.620627769510068372e+00
47,-2.079993639068679290e+00
48,2.389285271602488603e+00
49,-3.010310807895764551e+00
50,2.389285271602488603e+00
51,-2.079993639068679290e+00
52,2.620627769510068372e+00
53,-2.079993639068679290e+00
54,1.925813512132108052e+00
55,-2.426372982107218856e+00
56,1.925813512132108052e+00
57,-2.212178813417215117e+00
58,2.787170653155812250e+00
59,-2.212178813417215117e+00
60,1.925813512132108052e+00
61,-2.426372982107218856e+00
62,1.925813512132108052e+00
63,-2.126270504036395170e+00
64,2.678932965806036570e+00
65,-2.126270504036395170e+00
66,2.442443430265324622e+00
67,-3.077285890968722626e+00
68,2.442443430265324622e+00
69,-2.126270504036395170e+00
70,2.678932965806036570e+00
71,-2.126270504036395170e+00
72,1.925813512132108052e+00
73,-2.426372982107218856e+00
74,1.925813512132108052e+00
75,-2.212178813417215117e+00
76,2.787170653155812250e+00
77,-2.212178813417215117e+00
78,1.925813512132108052e+00
79,-2.426372982107218856e+00
80,1.925813512132108052e+00
